hora;producto;year;mes;startdatecad;enddatecad;nfactura;dias;Etotal;Ekwh;kwh;Epot;PotEd;potElec
2022-08-24 07:37:42.170965;gas;2018;5;2018-03-16;2018-05-24;PMD801N0643071;69;146.39;0.04448175;2383.0;19.28;0.2794202898550725;0
2022-08-24 07:37:42.171965;gas;2018;7;2018-05-24;2018-07-25;PMD801N0922225;62;42.22;0.04448441;417.0;17.33;0.27951612903225803;0
2022-08-24 07:37:42.172965;gas;2018;9;2018-07-25;2018-09-18;PMD801N1155378;55;39.77;0.04448193;415.0;15.37;0.27945454545454546;0
2022-08-24 07:37:42.173966;gas;2018;11;2018-09-18;2018-11-20;PMD801N1417949;63;124.09;0.04448016;1991.0;17.61;0.2795238095238095;0
2022-08-24 07:37:42.174966;gas;2019;1;2018-11-20;2019-01-23;PMD901N0111215;64;313.12;0.04449877;5634.0;17.84;0.27875;0
2022-08-24 07:37:42.175966;luz;2019;3;2019-01-13;2019-03-12;PM3901N0563085;58;102.26;0.1423176;338.0;7.27130435;0.12536731637931034;5.75
2022-08-24 07:37:42.177967;gas;2019;3;2019-01-23;2019-03-22;PMD901N0362917;58;327.81;0.05684994;4831.0;17.59;0.3032758620689655;0
2022-08-24 07:37:42.178967;luz;2019;5;2019-03-12;2019-05-12;PM3901N0996820;61;97.83;0.14234266;286.0;7.81565217;0.12812544540983606;5.75
2022-08-24 07:37:42.179967;gas;2019;5;2019-03-22;2019-05-23;PMD901N0622000;62;185.29;0.0568505;2321.0;19.06;0.30741935483870964;0
2022-08-24 07:37:42.180967;luz;2019;7;2019-05-12;2019-07-11;PM3901N1446656;60;98.71;0.14234568;297.0;7.686956520000001;0.128115942;5.75
2022-08-24 07:37:42.181967;gas;2019;7;2019-05-23;2019-07-16;PMD901N0864200;54;101.97;0.05684564;447.0;16.6;0.3074074074074074;0
2022-08-24 07:37:42.182968;luz;2019;9;2019-07-11;2019-09-12;PM3901N1885133;63;96.51;0.14224719;267.0;8.07304348;0.1281435473015873;5.75
2022-08-24 07:37:42.183968;gas;2019;9;2019-07-16;2019-09-19;PMD901N1111151;65;40.33;0.05685;257.0;19.9808219;0.30739726;0
2022-08-24 07:37:42.184968;luz;2019;11;2019-09-12;2019-11-11;PM3901N2334292;60;96.01;0.14223827;277.0;7.68869565;0.1281449275;5.75
2022-08-24 07:37:42.185969;gas;2019;11;2019-09-19;2019-11-18;PMD901N1356241;60;150.28;0.05684987;1965.0;18.44;0.30733333333333335;0
2022-08-24 07:37:42.186969;luz;2020;1;2019-11-11;2020-01-12;PM3001N0083569;62;102.73;0.1422619;312.0;7.940869559999999;0.12807854129032256;5.75
