producto;startdate;enddate;dias;Etotal;Ekwh;kwh;Epot;PotEd;potElec;€Total/día
gas;16/03/2018;24/05/2018;69;146.39;0.04448175;2383;19.28;0.27942029;0;2.121594203
gas;24/05/2018;25/07/2018;62;42.22;0.04448441;417;17.33;0.279516129;0;0.680967742
gas;25/07/2018;18/09/2018;55;39.77;0.04448193;415;15.37;0.279454545;0;0.723090909
gas;18/09/2018;20/11/2018;63;124.09;0.04448016;1991;17.61;0.27952381;0;1.96968254
gas;20/11/2018;23/01/2019;64;313.12;0.04449877;5634;17.84;0.27875;0;4.8925
luz;13/01/2019;12/03/2019;58;102.26;0.1423176;338;7.27130435;0.125367316;5.75;1.763103448
gas;23/01/2019;22/03/2019;58;327.81;0.05684994;4831;17.59;0.303275862;0;5.651896552
luz;12/03/2019;12/05/2019;61;97.83;0.14234266;286;7.81565217;0.128125445;5.75;1.603770492
gas;22/03/2019;23/05/2019;62;185.29;0.0568505;2321;19.06;0.307419355;0;2.988548387
luz;12/05/2019;11/07/2019;60;98.71;0.14234568;297;7.68695652;0.128115942;5.75;1.645166667
gas;23/05/2019;16/07/2019;54;101.97;0.05684564;447;16.6;0.307407407;0;1.888333333
luz;11/07/2019;12/09/2019;63;96.51;0.14224719;267;8.07304348;0.128143547;5.75;1.531904762
gas;16/07/2019;19/09/2019;65;40.33;0.05685;257;19.9808219;0.30739726;0;0.620461538
luz;12/09/2019;11/11/2019;60;96.01;0.14223827;277;7.68869565;0.128144928;5.75;1.600166667
gas;19/09/2019;18/11/2019;60;150.28;0.05684987;1965;18.44;0.307333333;0;2.504666667
luz;11/11/2019;12/01/2020;62;102.73;0.1422619;312;7.94086956;0.128078541;5.75;1.656935484
gas;18/11/2019;21/01/2020;64;385.3;0.05684895;5606;19.64;0.306875;0;6.0203125
luz;12/01/2020;12/03/2020;60;100.67;0.14147727;312;7.66608695;0.127768116;5.75;1.677833333
gas;21/01/2020;20/03/2020;59;317.18;0.05635387;4561;18.03;0.30559322;0;5.375932203
luz;12/03/2020;12/05/2020;61;112.78;0.14148825;383;7.79478261;0.127783321;5.75;1.848852459
gas;20/03/2020;20/05/2020;61;186.36;0.05682578;2514;18.64;0.30557377;0;3.055081967
luz;12/05/2020;12/07/2020;61;101.08;0.14149502;375;7.79478261;0.127783321;5.75;1.65704918
gas;20/05/2020;20/07/2020;61;52.1;0.05683297;461;18.64;0.30557377;0;0.854098361
luz;12/07/2020;13/09/2020;63;139.95;0.14145221;544;8.05043478;0.127784679;5.75;2.221428571
gas;20/07/2020;17/09/2020;59;45.62;0.05683646;373;18.03;0.30559322;0;0.773220339
luz;13/09/2020;12/11/2020;60;97.8;0.14142857;294;7.66782609;0.127797102;5.75;1.63
gas;17/09/2020;16/11/2020;60;131.51;0.05681941;1712;17.83;0.297166667;0;2.191833333
luz;12/11/2020;12/01/2021;61;131.01;0.14145;498;7.79826087;0.127840342;5.75;2.147704918
gas;16/11/2020;21/01/2021;66;476.82;0.05581221;7060;19.48;0.295151515;0;7.224545455
luz;12/01/2021;11/03/2021;58;120.78;0.14144766;449;7.43130435;0.128125937;5.75;2.082413793
gas;21/01/2021;23/03/2021;61;325.41;0.05581184;4730;18.03;0.29557377;0;5.334590164
luz;11/03/2021;12/05/2021;62;121.5;0.14710843;431;8.00521739;0.12911641;5.75;1.959677419
gas;23/03/2021;14/05/2021;52;162.2;0.05580991;2241;15.37;0.295576923;0;3.119230769
luz;12/05/2021;31/05/2021;19;35.37;0.14706897;116;2.53217391;0.133272311;5.75;1.861578947
gas;14/05/2021;12/07/2021;59;40.72;0.06023697;297;17.45;0.295762712;0;0.690169492
luz;31/05/2021;05/07/2021;35;51.18;0.14709459;148;4.09391304;0.116968944;5.75;1.462285714
luz;05/07/2021;14/07/2021;9;7.45;0.14722222;18;1.0525;0.116944444;4;0.827777778
gas;12/07/2021;21/09/2021;71;46.06;0.06025974;308;20.99;0.295633803;0;0.648732394
luz;14/07/2021;11/08/2021;28;40.3;0.14711538;156;3.275;0.116964286;4;1.439285714
luz;11/08/2021;12/09/2021;32;66.51;0.14711599;319;3.7425;0.116953125;4;2.0784375
luz;12/09/2021;12/10/2021;30;33.46;0.14733333;149;2.965;0.098833333;4;1.115333333
gas;21/09/2021;30/09/2021;9;20.1;0.0602449;245;2.66;0.295555556;0;2.233333333
gas;30/09/2021;18/11/2021;49;113.61;0.04989239;1301;33.88;0.691428571;0;2.318571429
luz;12/10/2021;11/11/2021;30;34.02;0.11124224;161;2.9025;0.09675;4;1.134
